Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,Numerical Rating,Discipline
The Review of Financial Studies,Oxford University Press,1502,A*,0893-9454,1465-7368,http://rfs.oxfordjournals.org/,1,
The Sydney Law Review,Sydney Law School,180105,A*,0082-0512,,,1,
The Yale Law Journal,"The Yale Law Journal Company, Inc.",180105,A*,0044-0094,1939-8611,http://www.yalelawjournal.org/about-the-yale-law-journal,1,
Theoretical Economics,The Econometric Society,1401,A*,1933-6837,1555-7561,http://econtheory.org/,1,
Tourism Management,Elsevier,1506,A*,0261-5177,1879-3193,,1,
Transportation Research Part A: Policy and Practice,Elsevier,1507,A*,0965-8564,1879-2375,http://www.journals.elsevier.com/transportation-research-part-a-policy-and-practice/,1,
Transportation Research Part B: Methodological,Elsevier,1507,A*,0191-2615,1879-2367,http://www.journals.elsevier.com/transportation-research-part-b-methodological,1,
Transportation Research Part C: Emerging Technologies,Elsevier,1507,A*,0968-090X,1879-2359,,1,
Transportation Research Part E: Logistics and Transportation Review,Elsevier,1507,A*,1366-5545,1878-5794,,1,
University of Chicago Law Review,University of Chicago Press,180105,A*,0041-9494,1939-859X,,1,
Urban Studies: an international journal for research in urban studies,Sage Publications,1503,A*,0042-0980,1360-063X,http://usj.sagepub.com/,1,Education
Abacus,Wiley-Blackwell Publishing,1501,A,0001-3072,1467-6281,https://onlinelibrary.wiley.com/journal/14676281,2,
Academy of Management Discoveries,Academy of Management,1503,A,2168-1007,,https://aom.org/research/journals/discoveries,2,Education
Academy of Management Perspectives,Academy of Management,1503,A,1558-9080,1943-4529,,2,Education
Accounting and Business Research,Taylor & Francis Online,1501,A,0001-4788,2159-4260,,2,
Accounting and Finance,"John Wiley & Sons, Inc.",1501,A,0810-5391,1467-629X,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X ,2,
Accounting Education ,Taylor & Francis Online,1501,A,0963-9284,1468-4489,,2,
Accounting History,Sage Publications,1501,A,1032-3732,1749-3374,,2,
Accounting Horizons,American Accounting Association,1501,A,0888-7993,1558-7975,,2,
Accounting in Europe,Taylor & Francis Online,1501,A,1744-9480,1744-9499,,2,
Acta Psychologica,Elsevier,1503,A,0001-6918,1873-6297,,2,Education
Adelaide Law Review,University of Adelaide,180105,A,0065-1915,,,2,
Advances in Accounting,Elsevier,1501,A,0882-6110,1046-5715,,2,
Advances in Accounting Behavioral Research,Emerald Group Publishing,1501,A,1475-1488,,,2,
Advances in Applied Probability,Applied Probability Trust,104,A,0001-8678,1475-6064,,2,
Advances in Management Accounting,Emerald Group Publishing,1501,A,1474-7871,,,2,
Agricultural Economics,Wiley-Blackwell Publishing,1402,A,0169-5150,1574-0862,,2,
AIS Transactions on Human-Computer Interaction,Association for Information Systems,806,A,1944-3900,,,2,Information Systems
"Alternatives: global, local, political",Sage Publications,1503,A,0304-3754,2163-3150,,2,Education
American Business Law Journal,Wiley-Blackwell Publishing,180105,A,0002-7766,1744-1714,,2,
American Business Review,University of New Haven,1503,A,0743-2348,0743-2348,,2,Education
American Journal of Comparative Law,Oxford University Press,180105,A,0002-919X,2326-9197,,2,
American Journal of Health Economics,MIT Press,1402,A,2332-3493,2332-3507,,2,
Annals of Actuarial Science,Cambridge University Press,1502,A,1748-4995,1748-5002,,2,
Annals of Applied Probability,Institute of Mathematical Statistics,104,A,1050-5164,2168-8737,,2,
Annals of Applied Statistics,Institute of Mathematical Statistics,104,A,1932-6157,1941-7330,,2,
Annals of Operations Research,Springer International Publishing,1503,A,0254-5330,1572-9338,,2,Education
Annals of the Institute of Statistical Mathematics,Springer International Publishing,104,A,0020-3157,1572-9052,,2,
Anti Trust Law Journal,American Bar Association,180105,A,0003-6056,,,2,
Appetite,Elsevier,1505,A,0195-6663,1095-8304,,2,
Applied Economics,Taylor & Francis Online,1402,A,0003-6846,1466-4283,,2,
Applied Energy,Elsevier,1599,A,0306-2619,,,2,
Applied Ontology,IOS Press,806,A,1570-5838,,,2,Information Systems
Applied Psychology: An International Review,Wiley-Blackwell Publishing,1503,A,0269-994X,1464-0597,,2,Education
Asia Pacific Journal of Management,Springer International Publishing,1503,A,0217-4561,1572-9958,,2,Education
Asia Pacific Journal of Marketing and Logistics,Emerald Group Publishing,1505,A,1355-5855,1758-4248,,2,
Asia Pacific Journal of Tourism Research,Taylor & Francis Online,1506,A,1094-1665,1741-6507,,2,
ASTIN Bulletin,Cambridge University Press,1502,A,0515-0361,1783-1350,,2,
